iter	RMSE
0	4004980.558
1	3594280.751
2	3416552.801
3	3309560.709
4	3215088.577
5	3171831.28
6	3134509.646
7	3105617.921
8	3084162.493
9	3064865.895
10	3042944.209
11	3019277.462
12	2992567.74
13	2982663.475
14	2972305.879
15	2963842.051
16	2945558.642
17	2929850.535
18	2917472.665
19	2897752.577
20	2882946.612
21	2877213.999
22	2864320.085
23	2849674.933
24	2845486.899
25	2837763.415
26	2828168.263
27	2819601.459
28	2804885.609
29	2803440.401
30	2795775.648
31	2789606.301
32	2781345.42
33	2766357.722
34	2761087.911
35	2759945.639
36	2752782.821
37	2747577.801
38	2738264.966
39	2729852.659
40	2725326.234
41	2720241.342
42	2713082.094
43	2706945.737
44	2702145.549
45	2696676.266
46	2693563.659
47	2689919.935
48	2681410.75
49	2677119.199
50	2673744.995
51	2665711.518
52	2658061.499
53	2653509.488
54	2650284.692
55	2643183.818
56	2642575.675
57	2636933.468
58	2632293.615
59	2628452.829
60	2620959.024
61	2615713.06
62	2611631.995
63	2609024.624
64	2605930.14
65	2601760.075
66	2597652.717
67	2594128.034
68	2588546.862
69	2584602.448
70	2581464.408
71	2578493.923
72	2574925.134
73	2572665.652
74	2569052.81
75	2562226.561
76	2557411.182
77	2550711.141
78	2546467.892
79	2542533.808
80	2538542.423
81	2535771.667
82	2532969.914
83	2529493.996
84	2525856.288
85	2523862.252
86	2519981.029
87	2517250.709
88	2514262.787
89	2510562.171
90	2507985.492
91	2506019.163
92	2500462.424
93	2495584.089
94	2490295.333
95	2486306.546
96	2479668.981
97	2476909.71
98	2474943.458
99	2472530.265
100	2470157.34
101	2466872.692
102	2463436.292
103	2459284.794
104	2457230.976
105	2454626.621
106	2451291.392
107	2448536.652
108	2445986.563
109	2444810.1
110	2442293.38
111	2439591.887
112	2437359.317
113	2433733.563
114	2432992.967
115	2430417.173
116	2427869.242
117	2425242.458
118	2423181.6
119	2420046.856
120	2417610.683
121	2414858.586
122	2412707.32
123	2411348.723
124	2408512.075
125	2406126.503
126	2403639
127	2402141.038
128	2400262.717
129	2398074.869
130	2393895.185
131	2391281.229
132	2389948.463
133	2387190.287
134	2384319.158
135	2381218.805
136	2377315.981
137	2375478.495
138	2371537.927
139	2369719.655
140	2367879.943
141	2364397.688
