iter	Passed	Remaining
0	40	40078
1	64	32315
2	85	28373
3	106	26539
4	140	27867
5	164	27300
6	206	29345
7	234	29093
8	273	30169
9	299	29616
10	344	30968
11	359	29591
12	393	29906
13	427	30079
14	451	29628
15	474	29200
16	498	28826
17	518	28310
18	544	28131
19	567	27791
20	586	27324
21	609	27111
22	652	27708
23	671	27326
24	693	27061
25	758	28424
26	817	29469
27	851	29562
28	887	29716
29	910	29437
30	946	29589
31	986	29828
32	1099	32211
33	1148	32637
34	1168	32212
35	1188	31821
36	1210	31514
37	1232	31212
38	1248	30759
39	1283	30799
40	1311	30668
41	1328	30312
42	1345	29944
43	1361	29578
44	1379	29281
45	1395	28932
46	1409	28573
47	1424	28254
48	1442	28004
49	1459	27733
50	1474	27435
51	1488	27141
52	1502	26838
53	1516	26562
54	1530	26295
55	1543	26026
56	1556	25758
57	1571	25516
58	1584	25272
59	1599	25061
60	1614	24847
61	1628	24640
62	1642	24427
63	1656	24221
64	1669	24012
65	1684	23836
66	1703	23723
67	1720	23574
68	1735	23416
69	1751	23275
70	1770	23166
71	1783	22992
72	1799	22851
73	1815	22715
74	1831	22586
75	1846	22454
76	1861	22315
77	1880	22223
78	1902	22173
79	1923	22115
80	1948	22104
81	1967	22023
82	1991	22004
83	2010	21929
84	2029	21843
85	2051	21801
86	2069	21722
87	2090	21667
88	2113	21634
89	2128	21525
90	2144	21418
91	2161	21332
92	2183	21293
93	2206	21262
94	2219	21146
95	2241	21108
96	2262	21065
97	2278	20973
98	2296	20897
99	2310	20796
100	2335	20792
101	2352	20707
102	2370	20646
103	2387	20572
104	2405	20504
105	2421	20422
106	2438	20348
107	2458	20306
108	2477	20253
109	2512	20327
110	2558	20487
111	2624	20806
112	2648	20790
113	2685	20874
114	2707	20836
115	2735	20846
116	2762	20850
117	2785	20817
118	2803	20752
119	2823	20708
120	2842	20650
121	2860	20588
122	2878	20520
123	2899	20482
124	2916	20417
125	2935	20360
126	2952	20295
127	2971	20240
128	2990	20188
129	3010	20145
130	3029	20093
131	3045	20027
132	3063	19971
133	3080	19908
134	3099	19861
135	3119	19818
136	3138	19767
137	3157	19723
138	3173	19655
139	3191	19607
140	3209	19553
141	3229	19514
142	3252	19493
143	3269	19433
144	3290	19400
145	3309	19356
146	3334	19347
147	3366	19380
148	3400	19420
149	3420	19382
150	3441	19347
151	3459	19300
152	3478	19256
153	3497	19211
154	3513	19153
155	3533	19115
156	3553	19080
157	3572	19038
158	3590	18988
159	3607	18941
160	3626	18898
161	3644	18854
162	3662	18809
163	3680	18760
164	3698	18716
165	3721	18697
166	3739	18651
167	3762	18634
168	3792	18650
169	3829	18698
170	3853	18680
171	3884	18699
172	3915	18718
173	3941	18709
174	3969	18713
175	4006	18758
176	4039	18780
177	4071	18803
178	4096	18788
179	4118	18763
180	4148	18771
181	4174	18762
182	4211	18804
183	4247	18837
184	4282	18865
185	4326	18934
186	4365	18980
187	4395	18986
188	4429	19008
189	4457	19003
190	4495	19041
191	4531	19071
192	4567	19097
193	4596	19097
194	4628	19108
195	4658	19109
196	4683	19090
197	4708	19070
198	4733	19050
199	4756	19026
200	4779	18999
201	4804	18981
202	4829	18959
203	4852	18932
204	4881	18931
205	4913	18936
206	4938	18917
207	4959	18883
208	4979	18846
209	4998	18805
210	5019	18769
211	5039	18731
212	5061	18700
213	5081	18664
214	5098	18617
215	5117	18575
216	5140	18549
217	5171	18551
218	5209	18577
219	5234	18557
220	5258	18537
221	5282	18512
222	5305	18486
223	5324	18446
224	5345	18413
225	5371	18395
226	5392	18362
227	5414	18334
228	5438	18308
229	5463	18290
230	5486	18264
231	5508	18235
232	5527	18196
233	5546	18157
234	5565	18119
235	5587	18087
236	5608	18054
237	5628	18022
238	5649	17987
239	5671	17960
240	5697	17944
241	5720	17917
242	5741	17885
243	5761	17852
244	5786	17831
245	5835	17884
246	5852	17842
247	5876	17819
248	5898	17791
249	5919	17757
250	5940	17726
251	5963	17700
252	5983	17665
253	6001	17625
254	6021	17591
255	6038	17549
256	6063	17528
257	6083	17495
258	6100	17454
259	6121	17422
260	6138	17381
261	6157	17344
262	6179	17317
263	6198	17280
264	6217	17244
265	6235	17207
266	6253	17167
267	6272	17131
268	6291	17095
269	6312	17067
270	6333	17038
271	6357	17015
272	6378	16987
273	6407	16977
274	6480	17084
275	6508	17072
276	6532	17050
277	6554	17022
278	6574	16989
279	6594	16957
280	6623	16948
281	6683	17017
282	6732	17058
283	6803	17153
284	6856	17202
285	6902	17232
286	6946	17256
287	6993	17289
288	7039	17318
289	7064	17296
290	7093	17283
291	7122	17270
292	7155	17266
293	7183	17250
294	7208	17226
295	7253	17252
296	7289	17255
297	7354	17325
298	7432	17425
299	7487	17470
300	7514	17449
301	7537	17420
302	7573	17420
303	7603	17408
304	7651	17435
305	7705	17476
306	7762	17522
307	7804	17533
308	7837	17527
309	7883	17547
310	7972	17663
311	8033	17714
312	8075	17723
313	8105	17708
314	8145	17712
315	8173	17692
316	8218	17706
317	8252	17697
318	8283	17683
319	8355	17755
320	8492	17963
321	8580	18067
322	8634	18097
323	8667	18084
324	8693	18056
325	8727	18043
326	8763	18036
327	8856	18145
328	8874	18099
329	8894	18058
330	8922	18033
331	8949	18005
332	8975	17977
333	9008	17962
334	9046	17957
335	9069	17923
336	9092	17888
337	9114	17850
338	9132	17807
339	9170	17802
340	9210	17799
341	9248	17793
342	9287	17789
343	9315	17764
344	9343	17738
345	9365	17702
346	9392	17674
347	9434	17675
348	9453	17633
349	9468	17584
350	9485	17537
351	9500	17489
352	9514	17439
353	9529	17389
354	9552	17356
355	9568	17309
356	9584	17262
357	9603	17221
358	9617	17171
359	9632	17124
360	9647	17077
361	9662	17029
362	9681	16989
363	9696	16942
364	9712	16897
365	9727	16850
366	9742	16803
367	9758	16760
368	9786	16734
369	9800	16687
370	9818	16646
371	9834	16602
372	9854	16564
373	9876	16531
374	9910	16518
375	9974	16552
376	10005	16534
377	10044	16528
378	10073	16505
379	10089	16462
380	10105	16417
381	10123	16377
382	10142	16339
383	10159	16297
384	10174	16253
385	10189	16208
386	10215	16180
387	10255	16176
388	10302	16181
389	10351	16190
390	10413	16219
391	10466	16234
392	10515	16241
393	10550	16226
394	10584	16211
395	10615	16190
396	10635	16154
397	10667	16134
398	10696	16111
399	10724	16086
400	10773	16092
401	10798	16063
402	10824	16035
403	10849	16005
404	10867	15965
405	10887	15928
406	10904	15887
407	10967	15912
408	11023	15928
409	11088	15956
410	11214	16071
411	11257	16066
412	11311	16076
413	11346	16059
414	11377	16038
415	11412	16021
416	11441	15995
417	11473	15975
418	11517	15970
419	11544	15942
420	11584	15931
421	11606	15897
422	11635	15870
423	11663	15844
424	11692	15818
425	11717	15788
426	11755	15774
427	11779	15742
428	11801	15707
429	11824	15674
430	11850	15644
431	11870	15608
432	11887	15566
433	11904	15525
434	11921	15483
435	11938	15443
436	11954	15401
437	11970	15359
438	11985	15316
439	12001	15274
440	12019	15235
441	12038	15198
442	12054	15156
443	12072	15117
444	12088	15076
445	12103	15034
446	12119	14993
447	12140	14959
448	12156	14918
449	12172	14877
450	12188	14837
451	12206	14798
452	12225	14761
453	12240	14721
454	12260	14685
455	12276	14645
456	12292	14605
457	12307	14564
458	12321	14523
459	12340	14486
460	12356	14447
461	12373	14409
462	12389	14369
463	12404	14328
464	12420	14290
465	12437	14252
466	12454	14214
467	12482	14188
468	12503	14156
469	12531	14131
470	12558	14105
471	12586	14079
472	12613	14053
473	12646	14033
474	12673	14007
475	12702	13982
476	12733	13961
477	12758	13933
478	12781	13902
479	12802	13869
480	12820	13833
481	12838	13797
482	12856	13761
483	12877	13728
484	12898	13695
485	12914	13658
486	12930	13620
487	12946	13583
488	12961	13544
489	12978	13507
490	12993	13469
491	13006	13429
492	13022	13392
493	13037	13354
494	13053	13317
495	13070	13281
496	13090	13248
497	13108	13214
498	13124	13177
499	13140	13140
500	13156	13104
501	13173	13068
502	13188	13030
503	13204	12994
504	13220	12958
505	13237	12923
506	13253	12887
507	13270	12852
508	13286	12817
509	13303	12782
510	13320	12747
511	13336	12711
512	13351	12675
513	13367	12639
514	13382	12603
515	13404	12573
516	13418	12535
517	13434	12500
518	13448	12464
519	13465	12429
520	13482	12395
521	13499	12361
522	13515	12327
523	13531	12292
524	13547	12257
525	13562	12221
526	13579	12188
527	13595	12153
528	13612	12119
529	13627	12084
530	13642	12049
531	13657	12014
