iter	RMSE
0	19.19816521
1	17.90332522
2	17.35005842
3	16.97037048
4	16.82204685
5	16.70257101
6	16.59215016
7	16.47817475
8	16.3723671
9	16.24551374
10	16.20097609
11	16.08059611
12	16.00021032
13	15.8960812
14	15.78252389
15	15.65850983
16	15.52619721
17	15.37766367
18	15.27028973
19	15.12249054
20	14.97934078
21	14.85463693
22	14.73291394
23	14.63731056
24	14.51246064
25	14.39048687
26	14.31116021
27	14.17985371
28	14.07951272
29	13.94251162
30	13.82990683
31	13.72407031
32	13.64386526
33	13.54335872
34	13.443268
35	13.34430958
36	13.25227615
37	13.16181574
38	13.09173961
39	13.0076299
40	12.89798642
41	12.79283591
42	12.67937492
43	12.59032778
44	12.48577169
45	12.4160747
46	12.30754119
47	12.24323544
48	12.16009568
49	12.0766597
50	12.02283598
51	11.94821529
52	11.89433103
53	11.81936033
54	11.75231178
55	11.6770461
56	11.62268893
57	11.54599724
58	11.4542305
59	11.37464775
60	11.28835121
61	11.23535609
62	11.17830046
63	11.09428519
64	11.01170543
65	10.95760868
66	10.87961611
67	10.82788876
68	10.78095585
69	10.70560136
70	10.63955507
71	10.58124247
72	10.49896657
73	10.46221976
74	10.38773292
75	10.33329122
76	10.25899918
77	10.19228997
78	10.12782028
79	10.05691618
80	9.989928452
81	9.914251679
82	9.837239032
83	9.801680462
84	9.723089167
85	9.662092942
86	9.607537637
87	9.536394881
88	9.483252983
89	9.417665384
90	9.33938035
91	9.292131126
92	9.224459728
93	9.159036174
94	9.11990359
95	9.07254686
96	9.013983743
97	8.947480299
98	8.911564668
99	8.870845526
100	8.83726863
101	8.781991531
102	8.734168288
103	8.672086292
104	8.612076693
105	8.5521094
106	8.501959706
107	8.461366892
108	8.412757507
109	8.349600747
110	8.29628964
111	8.254167325
112	8.22861708
113	8.181383885
114	8.145881265
115	8.086873534
116	8.02988204
117	7.974037914
118	7.955126966
119	7.900812534
120	7.865203966
121	7.819985677
122	7.785438808
123	7.736013956
124	7.713182602
125	7.66894318
126	7.626971917
127	7.610418685
128	7.562448257
129	7.524611751
130	7.474142312
131	7.44128614
132	7.418320997
133	7.366302617
134	7.313089624
135	7.287026985
136	7.242636555
137	7.19920137
138	7.159788936
139	7.115385202
140	7.081847375
141	7.037324744
142	7.009178699
143	6.974035362
144	6.918809755
145	6.871067442
146	6.826443277
147	6.784992024
148	6.750900616
149	6.709202072
150	6.670570274
151	6.643642709
152	6.597766314
153	6.562337145
154	6.530860688
155	6.510151982
156	6.470701793
157	6.439360043
158	6.39074134
159	6.357905968
160	6.314351278
161	6.293969392
162	6.272194142
163	6.236805127
164	6.198522522
165	6.173342368
166	6.137060523
167	6.11201479
168	6.078331879
169	6.038048445
170	6.02444735
171	5.987712233
172	5.950265894
173	5.913339143
174	5.879244362
175	5.842178384
176	5.804847584
177	5.78632004
178	5.750089516
179	5.718274594
180	5.68527028
181	5.672887986
182	5.64144751
183	5.606534579
184	5.580330995
185	5.548724577
186	5.522754785
187	5.491345006
188	5.454277467
189	5.416056601
190	5.38458382
191	5.358312055
192	5.331147306
193	5.313040613
194	5.285541006
195	5.260392771
196	5.226175704
197	5.1994207
198	5.170651423
199	5.154380814
200	5.125484324
201	5.100900519
202	5.077289851
203	5.06043928
204	5.041484753
205	5.008254943
206	4.981973165
207	4.950533449
208	4.91993709
209	4.900210332
210	4.872076347
211	4.849394633
212	4.823806616
213	4.792579965
214	4.763134596
215	4.744521417
216	4.72473946
217	4.710862982
218	4.684045664
219	4.652834911
220	4.633207837
221	4.610290697
222	4.584507367
223	4.561364556
224	4.537277659
225	4.522959682
226	4.517470279
227	4.489244185
228	4.471628929
229	4.444659291
230	4.428487457
231	4.41758592
232	4.400543134
233	4.368846271
234	4.347025171
235	4.32060792
236	4.302587082
237	4.284752509
238	4.26284425
239	4.245636072
240	4.234245118
241	4.217829644
242	4.206418229
243	4.185078911
244	4.170851322
245	4.156276884
246	4.127838603
247	4.10374387
248	4.088254635
249	4.07413035
250	4.056001764
251	4.034556814
252	4.013179848
253	4.001989622
254	3.983394744
255	3.962098074
256	3.953208433
257	3.938077004
258	3.921571497
259	3.902236697
260	3.885605723
261	3.872143319
262	3.845080713
263	3.824679627
264	3.813532857
265	3.793926396
266	3.776844341
267	3.755333924
268	3.742784304
269	3.731243134
270	3.709501658
271	3.695022902
272	3.682508452
273	3.665768566
274	3.649013149
275	3.632005969
276	3.618095305
277	3.602273805
278	3.585180971
279	3.574880089
280	3.563326049
281	3.550510265
282	3.539755479
283	3.523557787
284	3.507317468
285	3.491151603
286	3.472678333
287	3.450450806
288	3.432154529
289	3.416310882
290	3.402818076
291	3.393156744
292	3.378151245
293	3.362188991
294	3.352732348
295	3.336485595
296	3.321236888
297	3.307939003
298	3.298740088
299	3.286154473
300	3.275294604
301	3.260845595
302	3.247576928
303	3.226988354
304	3.21101941
305	3.194545173
306	3.179420364
307	3.166070547
308	3.153820574
309	3.13903595
310	3.131211386
311	3.117978002
312	3.111181399
313	3.099038407
314	3.091654419
315	3.084507542
316	3.072786178
317	3.071269359
318	3.058840919
319	3.045829893
320	3.039687667
321	3.026433727
322	3.016991114
323	3.004689478
324	2.994869977
325	2.981021125
326	2.973165823
327	2.959904716
328	2.950300082
329	2.93786297
330	2.929359686
331	2.919839112
332	2.910409706
333	2.904097746
334	2.894824921
335	2.886811655
336	2.880171535
337	2.869910519
338	2.860473226
339	2.850313751
340	2.83943036
341	2.832033865
342	2.819948855
343	2.805880632
344	2.794461248
345	2.783055576
