iter	Passed	Remaining
0	21	21144
1	39	19502
2	55	18477
3	70	17521
4	84	16754
5	97	16147
6	123	17535
7	138	17167
8	156	17192
9	170	16928
10	184	16551
11	196	16205
12	212	16153
13	227	16049
14	242	15934
15	256	15758
16	269	15572
17	281	15360
18	296	15323
19	316	15513
20	331	15437
21	345	15372
22	360	15321
23	374	15222
24	389	15189
25	406	15219
26	423	15273
27	438	15234
28	453	15181
29	467	15127
30	481	15037
31	495	14981
32	509	14939
33	524	14916
34	540	14906
35	554	14847
36	567	14769
37	582	14754
38	597	14719
39	612	14697
40	625	14642
41	639	14578
42	652	14514
43	668	14534
44	685	14540
45	699	14515
46	715	14502
47	728	14450
48	741	14381
49	753	14308
50	766	14268
51	782	14273
52	796	14225
53	810	14202
54	824	14169
55	839	14149
56	852	14100
57	866	14067
58	881	14062
59	897	14055
60	911	14023
61	925	14006
62	939	13978
63	954	13959
64	971	13972
65	986	13954
66	1000	13938
67	1014	13903
68	1028	13882
69	1043	13861
70	1063	13914
71	1081	13944
72	1097	13937
73	1125	14086
74	1143	14101
75	1157	14067
76	1170	14028
77	1184	14005
78	1201	14012
79	1245	14318
80	1258	14273
81	1271	14229
82	1285	14202
83	1301	14190
84	1318	14192
85	1333	14170
86	1346	14129
87	1361	14114
88	1380	14127
89	1395	14114
90	1410	14086
91	1422	14041
92	1435	14002
93	1449	13968
94	1464	13951
95	1479	13932
96	1492	13891
97	1504	13851
98	1518	13821
99	1532	13795
100	1547	13778
101	1563	13766
102	1576	13727
103	1589	13694
104	1602	13662
105	1616	13636
106	1631	13615
107	1647	13609
108	1665	13613
109	1681	13607
110	1695	13577
111	1708	13547
112	1722	13521
113	1742	13543
114	1761	13553
115	1779	13562
116	1796	13554
117	1812	13549
118	1832	13563
119	1850	13571
120	1867	13569
121	1881	13538
122	1896	13519
123	1911	13507
124	1928	13497
125	1942	13477
126	1957	13456
127	1972	13435
128	1986	13415
129	2000	13387
130	2019	13395
131	2036	13392
132	2053	13387
133	2068	13370
134	2084	13354
135	2100	13345
136	2120	13356
137	2153	13452
138	2185	13535
139	2203	13538
140	2223	13547
141	2243	13552
142	2258	13532
143	2274	13518
144	2290	13506
145	2311	13523
146	2328	13513
147	2363	13607
148	2378	13583
149	2394	13567
150	2411	13561
151	2431	13567
152	2449	13557
153	2465	13543
154	2482	13532
155	2500	13525
156	2518	13522
157	2534	13506
158	2550	13490
159	2564	13464
160	2578	13434
161	2595	13425
162	2611	13407
163	2624	13380
164	2642	13371
165	2659	13360
166	2675	13345
167	2691	13327
168	2710	13327
169	2728	13319
170	2744	13305
